id,difficulty
0,C2
1,A2
2,A1
3,A1
4,C2
5,C1
6,A1
7,A2
8,A1
9,A1
10,A1
11,A1
12,B2
13,A2
14,A2
15,A2
16,C1
17,A1
18,A1
19,A2
20,C2
21,A1
22,A2
23,B2
24,A1
25,C2
26,A1
27,A1
28,A1
29,A2
30,A1
31,A1
32,A1
33,A1
34,A1
35,A2
36,C2
37,B1
38,A2
39,A1
40,A2
41,A1
42,C2
43,B2
44,A1
45,B1
46,A1
47,A1
48,A1
49,A1
50,C1
51,A1
52,A1
53,A2
54,A1
55,A2
56,A1
57,A2
58,C1
59,A2
60,A1
61,A1
62,B1
63,B2
64,A1
65,C2
66,A1
67,A2
68,A2
69,A2
70,A1
71,A1
72,C1
73,A1
74,B1
75,A1
76,A1
77,C2
78,A2
79,B1
80,A1
81,A1
82,A2
83,A1
84,B1
85,C2
86,A2
87,C2
88,C1
89,A2
90,B2
91,A2
92,A1
93,A2
94,A2
95,B1
96,A1
97,A1
98,A1
99,C2
100,A1
101,C2
102,A1
103,A1
104,B1
105,A2
106,B1
107,A1
108,A2
109,A1
110,A1
111,A1
112,A1
113,B1
114,C2
115,B1
116,A1
117,A2
118,A1
119,B1
120,A1
121,A1
122,A1
123,B2
124,A2
125,A2
126,A1
127,A1
128,C1
129,C2
130,A2
131,A2
132,A2
133,A2
134,B2
135,C1
136,A1
137,B2
138,A2
139,A2
140,A1
141,B1
142,C2
143,C2
144,C1
145,B2
146,A1
147,C2
148,C1
149,A2
150,A1
151,A1
152,A1
153,A1
154,A2
155,C1
156,C1
157,A1
158,A1
159,A1
160,A2
161,A1
162,A1
163,A2
164,C2
165,C1
166,A1
167,A2
168,B1
169,A2
170,A2
171,A1
172,A1
173,A2
174,A2
175,C1
176,A1
177,B1
178,B1
179,A1
180,A1
181,C2
182,C2
183,A1
184,B2
185,A1
186,A2
187,C1
188,B1
189,B1
190,A1
191,A1
192,A1
193,A1
194,C1
195,A1
196,C2
197,A1
198,C2
199,A1
200,B2
201,A1
202,A2
203,A2
204,B1
205,A1
206,A1
207,B1
208,A1
209,A1
210,A1
211,A1
212,A1
213,A1
214,A2
215,C1
216,A2
217,C1
218,A1
219,B1
220,A1
221,A2
222,A1
223,A1
224,A1
225,C1
226,A1
227,A2
228,A1
229,A1
230,A1
231,A1
232,C1
233,A2
234,B1
235,A1
236,A1
237,B1
238,A1
239,A1
240,A1
241,A1
242,A1
243,A2
244,A1
245,A1
246,B2
247,A1
248,A1
249,A2
250,B1
251,A2
252,A1
253,B2
254,C2
255,C2
256,A2
257,A1
258,A1
259,C2
260,A1
261,A1
262,A1
263,A2
264,B1
265,B1
266,A2
267,A2
268,A2
269,C2
270,C1
271,A1
272,A2
273,A1
274,A1
275,B2
276,B1
277,C1
278,A2
279,A1
280,A1
281,A1
282,A2
283,A1
284,A1
285,A2
286,C1
287,C2
288,A1
289,B1
290,C1
291,B1
292,A1
293,A1
294,B1
295,B2
296,A1
297,B1
298,B1
299,A1
300,A1
301,A1
302,C2
303,A1
304,A1
305,A1
306,B2
307,A1
308,A1
309,A1
310,C2
311,B2
312,A1
313,A1
314,A1
315,C2
316,A1
317,A2
318,A2
319,A1
320,B2
321,A1
322,C1
323,A2
324,A1
325,A1
326,B1
327,B2
328,A1
329,A2
330,A1
331,A1
332,A2
333,B2
334,A2
335,A1
336,A1
337,A2
338,B2
339,A1
340,C1
341,A1
342,A2
343,B1
344,A2
345,A2
346,A1
347,B2
348,A1
349,A1
350,A1
351,B1
352,C1
353,B2
354,B1
355,C2
356,A1
357,A1
358,A1
359,A2
360,A1
361,B1
362,A1
363,A1
364,C1
365,C2
366,A1
367,A2
368,A1
369,C2
370,A1
371,A1
372,B1
373,A1
374,C2
375,B1
376,A1
377,A1
378,A2
379,A2
380,A2
381,A1
382,B2
383,A1
384,B1
385,B1
386,A2
387,A1
388,C2
389,A1
390,B1
391,B1
392,A1
393,A1
394,C2
395,A1
396,A2
397,A1
398,A1
399,B1
400,A2
401,A1
402,A1
403,C1
404,A1
405,A2
406,B2
407,A1
408,B1
409,A1
410,B2
411,B2
412,C2
413,C2
414,A1
415,B2
416,A2
417,A1
418,A1
419,A1
420,A1
421,A1
422,B2
423,A1
424,A1
425,A1
426,A1
427,A2
428,A1
429,C2
430,A1
431,A1
432,A2
433,A1
434,A1
435,A1
436,A2
437,A1
438,A1
439,A1
440,B2
441,A2
442,A1
443,C2
444,A2
445,A2
446,A1
447,A1
448,B1
449,A1
450,A2
451,A1
452,A1
453,A1
