id,sentence,difficulty;;;;;;;;;;;;
"0,""Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc."",C1";;;;;;;;;;;;
"1,""Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!"",A1";;;;;;;;;;;;
2,Le test de niveau en français est sur le site Internet de l'école.,A1;;;;;;;;;;;;
3,Est-ce que ton mari est aussi de Boston?,A1;;;;;;;;;;;;
"4,""Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes """"dans une quinzaine d'années""""."",B1";;;;;;;;;;;;
5,voilà une autre histoire que j'ai beaucoup aimée.,A2;;;;;;;;;;;;
6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2;;;;;;;;;;;;
"7,""Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité."",B2";;;;;;;;;;;;
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2;;;;;;;;;;;;
"9,""Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin"",B1";;;;;;;;;;;;
10,Bonjour et bonne année.,A1;;;;;;;;;;;;
11,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2;;;;;;;;;;;;
"12,""Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe."",B1";;;;;;;;;;;;
13,J'habite une belle ville dans le nord de la France.,A1;;;;;;;;;;;;
"14,""Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie."",B2";;;;;;;;;;;;
"15,""Ma timidité me quittait dès que je m'éloignais d'Ellénore ";" je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé."",C2";;;;;;;;;;;
16,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2;;;;;;;;;;;;
"17,""Le soir, je me cuche tôt parce que je dois être toujours en bonne forme."",A1";;;;;;;;;;;;
"18,""La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, """"ça a libéré ma ligne"""", déclare-t-elle."",B2";;;;;;;;;;;;
19,Je ne fais pas grand-chose à la maison.,A2;;;;;;;;;;;;
20,Elle ajoute qu'une interdiction totale est impossible à gérer.,B2;;;;;;;;;;;;
"21,""Sans plus d'hésitation, il tourna vers la gauche ";" son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit."",C2";;;;;;;;;;;
"22,""Comme le signale l'expression """"lingua franca"""", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel"",C2";;;;;;;;;;;;
23,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1;;;;;;;;;;;;
24,C'est peut-être ça que vous cherchez ?,A2;;;;;;;;;;;;
"25,""Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?"",C2";;;;;;;;;;;;
26,Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1;;;;;;;;;;;;
27,Nous sommes en train de dîner.,A2;;;;;;;;;;;;
"28,""En fait, je trouve que l'éducation est une bonne chose."",B1";;;;;;;;;;;;
29,As-tu besoin de quelque chose?,A1;;;;;;;;;;;;
"30,""Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux."",C1";;;;;;;;;;;;
"31,""Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent."",B2";;;;;;;;;;;;
"32,""Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche"",B2";;;;;;;;;;;;
"33,""La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite."",C2";;;;;;;;;;;;
