id,difficulty
0,C2
1,B1
2,A1
3,A1
4,C2
5,B2
6,B2
7,A2
8,B1
9,A1
10,A1
11,A2
12,C1
13,C1
14,A1
15,A2
16,B2
17,B1
18,A1
19,A1
20,C2
21,A1
22,B2
23,B2
24,B1
25,C2
26,B2
27,A1
28,A1
29,A1
30,A1
31,C2
32,A1
33,A2
34,A1
35,A1
36,A2
37,B1
38,A1
39,A2
40,A2
41,B2
42,C2
43,C1
44,C2
45,B1
46,B1
47,C2
48,A2
49,A1
50,C1
51,A1
52,C1
53,A1
54,A1
55,B2
56,C1
57,C1
58,C1
59,A2
60,B2
61,A2
62,C1
63,C1
64,A1
65,B2
66,C2
67,A2
68,A1
69,C1
70,A1
71,C1
72,B2
73,A1
74,B1
75,A1
76,A1
77,C1
78,A1
79,A1
80,A1
81,A1
82,B2
83,B1
84,A1
85,C1
86,A2
87,C1
88,C2
89,C1
90,C2
91,A2
92,C1
93,C2
94,B2
95,A2
96,A2
97,A1
98,C1
99,C2
100,C1
101,B2
102,A1
103,A2
104,C2
105,C2
106,A1
107,A1
108,A2
109,B2
110,B2
111,A2
112,B2
113,C1
114,C1
115,A1
116,C1
117,A2
118,A2
119,B2
120,A1
121,B2
122,B1
123,B2
124,A2
125,C1
126,B2
127,B2
128,C1
129,C2
130,A2
131,A2
132,A1
133,A2
134,B2
135,B1
136,A1
137,B1
138,A1
139,A2
140,A2
141,C2
142,C2
143,C2
144,B2
145,C1
146,A1
147,B2
148,A1
149,B1
150,B2
151,C2
152,A1
153,A2
154,A1
155,A1
156,C1
157,A1
158,A1
159,A1
160,A1
161,A1
162,B2
163,B2
164,C1
165,C1
166,A1
167,A2
168,C1
169,A1
170,A1
171,A1
172,A1
173,A1
174,A1
175,C1
176,B1
177,C1
178,B1
179,C2
180,A2
181,C1
182,B2
183,A2
184,B2
185,B1
186,A2
187,B1
188,B2
189,B1
190,A1
191,C1
192,A2
193,B1
194,B1
195,A2
196,B1
197,B1
198,B2
199,A1
200,B2
201,B1
202,A1
203,A1
204,B2
205,A1
206,A1
207,B1
208,A1
209,A1
210,A2
211,A1
212,A2
213,C1
214,B2
215,B2
216,C1
217,B2
218,A1
219,C1
220,B2
221,C2
222,A1
223,B1
224,A1
225,C1
226,A2
227,A2
228,A1
229,A1
230,A1
231,C1
232,C2
233,A1
234,B1
235,B2
236,C1
237,A1
238,B1
239,A1
240,A2
241,B1
242,A1
243,A2
244,B1
245,A1
246,A1
247,B1
248,A1
249,B1
250,B1
251,B1
252,A1
253,B2
254,C1
255,C2
256,A2
257,A1
258,A1
259,C2
260,A1
261,A1
262,A1
263,A2
264,B1
265,A1
266,B2
267,B1
268,B2
269,C2
270,A1
271,A1
272,B1
273,C1
274,A2
275,A1
276,B2
277,A1
278,B1
279,C1
280,A1
281,C1
