id,difficulty
0,A2
1,A2
2,A2
3,A2
4,A2
5,A2
6,A2
7,A2
8,A2
9,A2
10,A2
11,A2
12,A2
13,A2
14,A2
15,A2
16,A2
17,A2
18,A2
19,A2
20,A2
21,A2
22,A2
23,A2
24,A2
25,A2
26,A2
27,A2
28,A2
29,A2
30,A2
31,A2
32,A2
33,A2
34,A2
35,A2
36,A2
37,A2
38,A2
39,A2
40,A2
41,A2
42,A2
43,A2
44,A2
45,A2
46,A2
47,A2
48,A2
49,A2
50,A2
51,A2
52,A2
53,A2
54,A2
55,A2
56,A2
57,A2
58,A2
59,A2
60,A2
61,A2
62,A2
63,A2
64,A2
65,A2
66,A2
67,A2
68,A2
69,A2
70,A2
71,A2
72,A2
73,A2
74,A2
75,A2
76,A2
77,A2
78,A2
79,A2
80,A2
81,A2
82,A2
83,A2
84,A2
85,A2
86,A2
87,A2
88,A2
89,A2
90,A2
91,A2
92,A2
93,A2
94,A2
95,A2
96,A2
97,A2
98,A2
99,A2
100,A2
101,A2
102,A2
103,A2
104,A2
105,A2
106,A2
107,A2
108,A2
109,A2
110,A2
111,A2
112,A2
113,A2
114,A2
115,A2
116,A2
117,A2
118,A2
119,A2
120,A2
121,A2
122,A2
123,A2
124,A2
125,A2
126,A2
127,A2
128,A2
129,A2
130,A2
131,A2
132,A2
133,A2
134,A2
135,A2
136,A2
137,A2
138,A2
139,A2
140,A2
141,A2
142,A2
143,A2
144,A2
145,A2
146,A2
147,A2
148,A2
149,A2
150,A2
151,A2
152,A2
153,A2
154,A2
155,A2
156,A2
157,A2
158,A2
159,A2
160,A2
161,A2
162,A2
163,A2
164,A2
165,A2
166,A2
167,A2
168,A2
169,A2
170,A2
171,A2
172,A2
173,A2
174,A2
175,A2
176,A2
177,A2
178,A2
179,A2
180,A2
181,A2
182,A2
183,A2
184,A2
185,A2
186,A2
187,A2
188,A2
189,A2
190,A2
191,A2
192,A2
193,A2
194,A2
195,A2
196,A2
197,A2
198,A2
199,A2
200,A2
201,A2
202,A2
203,A2
204,A2
205,A2
206,A2
207,A2
208,A2
209,A2
210,A2
211,A2
212,A2
213,A2
214,A2
215,A2
216,A2
217,A2
218,A2
219,A2
220,A2
221,A2
222,A2
223,A2
224,A2
225,A2
226,A2
227,A2
228,A2
229,A2
230,A2
231,A2
232,A2
233,A2
234,A2
235,A2
236,A2
237,A2
238,A2
239,A2
240,A2
241,A2
242,A2
243,A2
244,A2
245,A2
246,A2
247,A2
248,A2
249,A2
250,A2
251,A2
252,A2
253,A2
254,A2
255,A2
256,A2
257,A2
258,A2
259,A2
260,A2
261,A2
262,A2
263,A2
264,A2
265,A2
266,A2
267,A2
268,A2
269,A2
270,A2
271,A2
272,A2
273,A2
274,A2
275,A2
276,A2
277,A2
278,A2
279,A2
280,A2
281,A2
282,A2
283,A2
284,A2
285,A2
286,A2
287,A2
288,A2
289,A2
290,A2
291,A2
292,A2
293,A2
294,A2
295,A2
296,A2
297,A2
298,A2
299,A2
300,A2
301,A2
302,A2
303,A2
304,A2
305,A2
306,A2
307,A2
308,A2
309,A2
310,A2
311,A2
312,A2
313,A2
314,A2
315,A2
316,A2
317,A2
318,A2
319,A2
320,A2
321,A2
322,A2
323,A2
324,A2
325,A2
326,A2
327,A2
328,A2
329,A2
330,A2
331,A2
332,A2
333,A2
334,A2
335,A2
336,A2
337,A2
338,A2
339,A2
340,A2
341,A2
342,A2
343,A2
344,A2
345,A2
346,A2
347,A2
348,A2
349,A2
350,A2
351,A2
352,A2
353,A2
354,A2
355,A2
356,A2
357,A2
358,A2
359,A2
360,A2
361,A2
362,A2
363,A2
364,A2
365,A2
366,A2
367,A2
368,A2
369,A2
370,A2
371,A2
372,A2
373,A2
374,A2
375,A2
376,A2
377,A2
378,A2
379,A2
380,A2
381,A2
382,A2
383,A2
384,A2
385,A2
386,A2
387,A2
388,A2
389,A2
390,A2
391,A2
392,A2
393,A2
394,A2
395,A2
396,A2
397,A2
398,A2
399,A2
400,A2
401,A2
402,A2
403,A2
404,A2
405,A2
406,A2
407,A2
408,A2
409,A2
410,A2
411,A2
412,A2
413,A2
414,A2
415,A2
416,A2
417,A2
418,A2
419,A2
420,A2
421,A2
422,A2
423,A2
424,A2
425,A2
426,A2
427,A2
428,A2
429,A2
430,A2
431,A2
432,A2
433,A2
434,A2
435,A2
436,A2
437,A2
438,A2
439,A2
440,A2
