id,difficulty
0,C2
1,B1
2,A2
3,A1
4,C2
5,C2
6,A1
7,A2
8,C1
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,B1
18,B1
19,A1
20,C2
21,A1
22,C1
23,B2
24,B1
25,C2
26,B2
27,A1
28,A1
29,A1
30,A1
31,C1
32,A1
33,B1
34,A1
35,A1
36,A2
37,B2
38,A1
39,A2
40,C2
41,B2
42,A1
43,C1
44,C2
45,B1
46,B2
47,C2
48,A1
49,A1
50,C1
51,A1
52,C1
53,A1
54,A1
55,C1
56,B2
57,C2
58,C1
59,B1
60,A1
61,A2
62,C1
63,C1
64,B1
65,B2
66,C1
67,A2
68,A1
69,C2
70,C1
71,B2
72,B2
73,B1
74,B1
75,A1
76,A1
77,C1
78,A1
79,A1
80,A2
81,A1
82,B2
83,B1
84,A1
85,C1
86,B1
87,C1
88,C2
89,C2
90,C2
91,A2
92,C1
93,C2
94,B2
95,B2
96,A2
97,A1
98,C2
99,C2
100,C1
101,C1
102,A1
103,A2
104,C2
105,C2
106,A1
107,A1
108,A2
109,C1
110,B2
111,A2
112,C1
113,C1
114,C2
115,B2
116,C1
117,A2
118,A2
119,C1
120,A1
121,B2
122,A1
123,B2
124,A2
125,C1
126,B2
127,B2
128,C1
129,B2
130,A2
131,A2
132,A2
133,A2
134,B2
135,B1
136,A1
137,B2
138,A1
139,A2
140,A1
141,C1
142,C2
143,C2
144,C1
145,C1
146,A1
147,B2
148,A1
149,A2
150,B2
151,C2
152,A1
153,A2
154,A1
155,B1
156,C2
157,A1
158,A1
159,A1
160,A2
161,A1
162,B2
163,B2
164,C2
165,C1
166,A1
167,C1
168,B1
169,A1
170,A1
171,A1
172,A1
173,A2
174,B2
175,C1
176,C1
177,C1
178,A2
179,C2
180,A2
181,C1
182,B2
183,C1
184,B2
185,B1
186,A2
187,A2
188,C1
189,B1
190,A1
191,C1
192,C1
193,B1
194,C1
195,A2
196,A2
197,B1
198,C1
199,A2
200,B2
201,C1
202,A1
203,A1
204,C1
205,A2
206,A1
207,B1
208,A1
209,A1
210,A2
211,A1
212,B1
213,C1
214,B2
215,B2
216,B1
217,C1
218,A1
219,C2
220,C1
221,C1
222,A1
223,B2
224,A1
225,C1
226,A2
227,B1
228,A1
229,A1
230,B2
231,C1
232,C1
233,B2
234,B1
235,C1
236,C1
237,A1
238,A2
239,C2
240,A2
241,C1
242,A1
243,A2
244,C2
245,A1
246,A1
247,B1
248,A1
249,B2
250,B1
251,C2
252,C1
253,B2
254,C1
255,C2
256,B1
257,A1
258,A1
259,C2
260,A2
261,A1
262,A1
263,A2
264,C1
265,A1
266,B2
267,B1
268,B2
269,C2
270,A1
271,A1
272,A2
273,C2
274,B1
275,A1
276,B2
277,C2
278,B1
279,C1
280,A1
281,C1
