id,difficulty
0,C2
1,B1
2,A2
3,A1
4,C2
5,C2
6,A1
7,A2
8,B1
9,A1
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A1
18,A1
19,A1
20,C2
21,A1
22,C1
23,B2
24,A2
25,C2
26,B2
27,A1
28,B1
29,A1
30,A1
31,B1
32,A1
33,A2
34,A1
35,A1
36,C1
37,B1
38,A1
39,A2
40,A2
41,B2
42,C2
43,C1
44,C2
45,B1
46,B2
47,C2
48,A1
49,A1
50,C1
51,A1
52,C1
53,A2
54,A1
55,C1
56,B2
57,C2
58,C1
59,A2
60,B2
61,A2
62,C1
63,C1
64,A1
65,B2
66,C2
67,A1
68,A2
69,C2
70,A1
71,C1
72,B2
73,A1
74,B1
75,A1
76,A1
77,C1
78,A1
79,A2
80,A1
81,A1
82,B2
83,B2
84,A1
85,C1
86,A1
87,B1
88,C2
89,C1
90,C2
91,A2
92,C1
93,C2
94,A2
95,A2
96,A1
97,A1
98,C1
99,C2
100,C1
101,B2
102,A1
103,A2
104,B1
105,C2
106,A1
107,A1
108,A2
109,C1
110,B2
111,A2
112,C1
113,B2
114,C2
115,B1
116,C1
117,A2
118,A2
119,B2
120,A1
121,B2
122,B1
123,B2
124,A2
125,C2
126,B2
127,B2
128,C1
129,C2
130,A1
131,A2
132,A2
133,A2
134,B2
135,C1
136,A1
137,B1
138,A1
139,A2
140,A2
141,C2
142,C2
143,C2
144,C1
145,C1
146,A1
147,C1
148,A1
149,B1
150,B2
151,C2
152,A1
153,A2
154,A1
155,B2
156,B2
157,A1
158,A1
159,A1
160,A2
161,A1
162,B2
163,B2
164,C2
165,C2
166,A1
167,A1
168,B1
169,A1
170,A1
171,A1
172,A1
173,A1
174,A1
175,C1
176,B2
177,C1
178,B1
179,B1
180,A2
181,C1
182,B2
183,B2
184,B2
185,B2
186,A2
187,A2
188,C2
189,B1
190,A1
191,C1
192,C1
193,B1
194,C2
195,A2
196,A2
197,B1
198,B1
199,A2
200,B2
201,B2
202,A1
203,A1
204,B1
205,A1
206,A1
207,B1
208,A2
209,A1
210,B1
211,A1
212,A1
213,C1
214,B2
215,B2
216,B1
217,C2
218,A1
219,B2
220,C1
221,C2
222,A1
223,B1
224,A1
225,C1
226,A2
227,A2
228,A1
229,A1
230,B2
231,C2
232,C1
233,A2
234,A1
235,B2
236,B2
237,A2
238,C2
239,C2
240,A2
241,C2
242,A1
243,A2
244,A2
245,A1
246,A1
247,B1
248,A1
249,B2
250,B2
251,B1
252,A1
253,B2
254,C1
255,C2
256,A2
257,A1
258,A1
259,C2
260,A2
261,A1
262,A1
263,A2
264,B2
265,A1
266,C1
267,B1
268,B2
269,C1
270,A1
271,A1
272,A2
273,C1
274,A2
275,A1
276,B2
277,A1
278,B2
279,B2
280,A1
281,C1
